codigos,artigo,rqs,referenciaDentroDoArtigo,pagina,categoria_rq2,subcategoria,categoria_rq1
estágios da retrospectiva,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,1,"Derby and Larsen introduced a general agenda for Retros, featuring five consecutive phases—set the stage, gather data, generate insights, decide what to do, close—and proposed activities for each stage. This concept was adopted by other authors",,,Estrutura Padrão,Metodologia e Condução
Atividades da retrospectiva,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,1,"To alleviate Retro headaches, multiple types of remedies have been proposed by both researchers and practitioners. These remedies often take the form of games or timeboxed group activities that suggest specific meeting actions for Retros and can help teams ""think together"" and to ""break the usual routine"". They help alleviate common Retro headaches by encouraging the exploration of new perspectives, increasing motivation and supporting team-building efforts", Metodologia de Condução,,,Metodologia e Condução
desafios da retrospectiva,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,1,"However, Retrospectives face their own challenges. Agile practitioners have highlighted common problems, i.e. headaches, that repeatedly appear in meetings and negatively impact the quality of process improvement efforts.", Desafios de Eficácia,,,Desafios e problemas
requisitos da retrospectiva,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,1,"Retros have their own set of requirements for participants and face their own set of challenges. In particular, the literature concerning Agile practitioners has highlighted problems which repeatedly appear in these meetings", Desafios de Implementação,,,Definição e Propósito
problemas recorrentes,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,2,"Recurring headaches, while not fatal to the executed development process as a whole, can negatively influence the effectiveness of Retros and the quality of Retro outcomes and process improvement efforts in general.", Desafios da Eficácia, Padrões Negativos,,
Falta de Preparação,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,2,"Few arrangements by facilitator, participants’ time not being valued, lack of structure.",6, Desafios de Implementação,Falta de Preparação,
Baixo engajamento,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,2,Reluctance of team members to reflect or to share perceptions of (known) problems.,, Desafios de Participação, Engajamento,
Ações não implementadas,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,2,"Few outcomes defining the next improvement steps, no clear path for improvement.",, Desafios de Eficácia, Falta de Implementação,
Retrospectivas repetitivas,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,2,"Unchanging Retro procedures, leading to fatigue, frustration and low motivation.",, Desafios de Participação, Monotonia,
Questões para o sailboat,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,2,"Reflection on the past Sprint using a sailboat visualization including positives (wind), negatives (anchors), opportunities (sun) and dangers (icebergs) in the future. Team members share and categorize items after brainstorming.",,Metodologia de Condução, Técnicas de Facilitação,
